#Family	Phylo_groups	slope
Adoxaceae	EuasteridsII	1.27807753319395
Apiaceae	EuasteridsII	1.27807753319395
Aquifoliaceae	EuasteridsII	1.27807753319395
Araliaceae	EuasteridsII	1.27807753319395
Argophyllaceae	EuasteridsII	1.27807753319395
Asteraceae	EuasteridsII	1.27807753319395
Campanulaceae	EuasteridsII	1.27807753319395
Caprifoliaceae	EuasteridsII	1.27807753319395
Menyanthaceae	EuasteridsII	1.27807753319395
Myodocarpaceae	EuasteridsII	1.27807753319395
Phyllonomaceae	EuasteridsII	1.27807753319395
Achariaceae	EurosidsI	1.54399650591397
Balanopaceae	EurosidsI	1.54399650591397
Barbeyaceae	EurosidsI	1.54399650591397
Betulaceae	EurosidsI	1.54399650591397
Calophyllaceae	EurosidsI	1.54399650591397
Cannabaceae	EurosidsI	1.54399650591397
Caryocaraceae	EurosidsI	1.54399650591397
Celastraceae	EurosidsI	1.54399650591397
Cephalotaceae	EurosidsI	1.54399650591397
Chrysobalanaceae	EurosidsI	1.54399650591397
Clusiaceae	EurosidsI	1.54399650591397
Coriariaceae	EurosidsI	1.54399650591397
Corynocarpaceae	EurosidsI	1.54399650591397
Cucurbitaceae	EurosidsI	1.54399650591397
Datiscaceae	EurosidsI	1.54399650591397
Dichapetalaceae	EurosidsI	1.54399650591397
Elaeagnaceae	EurosidsI	1.54399650591397
Elaeocarpaceae	EurosidsI	1.54399650591397
Elatinaceae	EurosidsI	1.54399650591397
Erythroxylaceae	EurosidsI	1.54399650591397
Euphorbiaceae	EurosidsI	1.54399650591397
Euphroniaceae	EurosidsI	1.54399650591397
Fabaceae	EurosidsI	1.54399650591397
Fagaceae	EurosidsI	1.54399650591397
Goupiaceae	EurosidsI	1.54399650591397
Humiriaceae	EurosidsI	1.54399650591397
Hypericaceae	EurosidsI	1.54399650591397
Irvingiaceae	EurosidsI	1.54399650591397
Ixonanthaceae	EurosidsI	1.54399650591397
Lacistemataceae	EurosidsI	1.54399650591397
Linaceae	EurosidsI	1.54399650591397
Lophopyxidaceae	EurosidsI	1.54399650591397
Malpighiaceae	EurosidsI	1.54399650591397
Moraceae	EurosidsI	1.54399650591397
Myricaceae	EurosidsI	1.54399650591397
Ochnaceae	EurosidsI	1.54399650591397
Oxalidaceae	EurosidsI	1.54399650591397
Pandaceae	EurosidsI	1.54399650591397
Passifloraceae	EurosidsI	1.54399650591397
Peraceae	EurosidsI	1.54399650591397
Phyllanthaceae	EurosidsI	1.54399650591397
Picrodendraceae	EurosidsI	1.54399650591397
Polygalaceae	EurosidsI	1.54399650591397
Putranjivaceae	EurosidsI	1.54399650591397
Rafflesiaceae	EurosidsI	1.54399650591397
Rhamnaceae	EurosidsI	1.54399650591397
Rhizophoraceae	EurosidsI	1.54399650591397
Rosaceae	EurosidsI	1.54399650591397
Salicaceae	EurosidsI	1.54399650591397
Trigoniaceae	EurosidsI	1.54399650591397
Ulmaceae	EurosidsI	1.54399650591397
Urticaceae	EurosidsI	1.54399650591397
Violaceae	EurosidsI	1.54399650591397
Crassulaceae	basal_Rosids	2.17223400188908
Grossulariaceae	basal_Rosids	2.17223400188908
Haloragaceae	basal_Rosids	2.17223400188908
Paeoniaceae	basal_Rosids	2.17223400188908
Saxifragaceae	basal_Rosids	2.17223400188908
Vitaceae	basal_Rosids	2.17223400188908
Anacardiaceae	EurosidsII	1.99706721566071
Bixaceae	EurosidsII	1.99706721566071
Brassicaceae	EurosidsII	1.99706721566071
Burseraceae	EurosidsII	1.99706721566071
Capparaceae	EurosidsII	1.99706721566071
Caricaceae	EurosidsII	1.99706721566071
Cistaceae	EurosidsII	1.99706721566071
Cleomaceae	EurosidsII	1.99706721566071
Combretaceae	EurosidsII	1.99706721566071
Emblingiaceae	EurosidsII	1.99706721566071
Francoaceae	EurosidsII	1.99706721566071
Geraniaceae	EurosidsII	1.99706721566071
Guamatelaceae	EurosidsII	1.99706721566071
Limnanthaceae	EurosidsII	1.99706721566071
Lythraceae	EurosidsII	1.99706721566071
Malvaceae	EurosidsII	1.99706721566071
Melastomataceae	EurosidsII	1.99706721566071
Meliaceae	EurosidsII	1.99706721566071
Moringaceae	EurosidsII	1.99706721566071
Myrtaceae	EurosidsII	1.99706721566071
Onagraceae	EurosidsII	1.99706721566071
Pentadiplandraceae	EurosidsII	1.99706721566071
Resedaceae	EurosidsII	1.99706721566071
Rutaceae	EurosidsII	1.99706721566071
Sapindaceae	EurosidsII	1.99706721566071
Staphyleaceae	EurosidsII	1.99706721566071
Strasburgeriaceae	EurosidsII	1.99706721566071
Thymelaeaceae	EurosidsII	1.99706721566071
Vochysiaceae	EurosidsII	1.99706721566071
Actinidiaceae	basal_Asterids	1.87658633081607
Aizoaceae	basal_Asterids	1.87658633081607
Amaranthaceae	basal_Asterids	1.87658633081607
Anacampserotaceae	basal_Asterids	1.87658633081607
Aptandraceae	basal_Asterids	1.87658633081607
Balanophoraceae	basal_Asterids	1.87658633081607
Balsaminaceae	basal_Asterids	1.87658633081607
Cactaceae	basal_Asterids	1.87658633081607
Caryophyllaceae	basal_Asterids	1.87658633081607
Chenopodiaceae	basal_Asterids	1.87658633081607
Cornaceae	basal_Asterids	1.87658633081607
Diapensiaceae	basal_Asterids	1.87658633081607
Didiereaceae	basal_Asterids	1.87658633081607
Dioncophyllaceae	basal_Asterids	1.87658633081607
Droseraceae	basal_Asterids	1.87658633081607
Drosophyllaceae	basal_Asterids	1.87658633081607
Ebenaceae	basal_Asterids	1.87658633081607
Ericaceae	basal_Asterids	1.87658633081607
Erythropalaceae	basal_Asterids	1.87658633081607
Fouquieriaceae	basal_Asterids	1.87658633081607
Lecythidaceae	basal_Asterids	1.87658633081607
Limeaceae	basal_Asterids	1.87658633081607
Loranthaceae	basal_Asterids	1.87658633081607
Marcgraviaceae	basal_Asterids	1.87658633081607
Montiaceae	basal_Asterids	1.87658633081607
Nyctaginaceae	basal_Asterids	1.87658633081607
Opiliaceae	basal_Asterids	1.87658633081607
Pentaphylacaceae	basal_Asterids	1.87658633081607
Phytolaccaceae	basal_Asterids	1.87658633081607
Plumbaginaceae	basal_Asterids	1.87658633081607
Polemoniaceae	basal_Asterids	1.87658633081607
Polygonaceae	basal_Asterids	1.87658633081607
Portulacaceae	basal_Asterids	1.87658633081607
Primulaceae	basal_Asterids	1.87658633081607
Sapotaceae	basal_Asterids	1.87658633081607
Sarraceniaceae	basal_Asterids	1.87658633081607
Stegnospermataceae	basal_Asterids	1.87658633081607
Symplocaceae	basal_Asterids	1.87658633081607
Talinaceae	basal_Asterids	1.87658633081607
Tamaricaceae	basal_Asterids	1.87658633081607
Theaceae	basal_Asterids	1.87658633081607
Thesiaceae	basal_Asterids	1.87658633081607
Viscaceae	basal_Asterids	1.87658633081607
Acanthaceae	EuasteridsI	1.71884237659262
Apocynaceae	EuasteridsI	1.71884237659262
Bignoniaceae	EuasteridsI	1.71884237659262
Boraginaceae	EuasteridsI	1.71884237659262
Calceolariaceae	EuasteridsI	1.71884237659262
Convolvulaceae	EuasteridsI	1.71884237659262
Cordiaceae	EuasteridsI	1.71884237659262
Eucommiaceae	EuasteridsI	1.71884237659262
Garryaceae	EuasteridsI	1.71884237659262
Gentianaceae	EuasteridsI	1.71884237659262
Gesneriaceae	EuasteridsI	1.71884237659262
Heliotropiaceae	EuasteridsI	1.71884237659262
Hydroleaceae	EuasteridsI	1.71884237659262
Hydrophyllaceae	EuasteridsI	1.71884237659262
Lamiaceae	EuasteridsI	1.71884237659262
Lentibulariaceae	EuasteridsI	1.71884237659262
Linderniaceae	EuasteridsI	1.71884237659262
Loganiaceae	EuasteridsI	1.71884237659262
Martyniaceae	EuasteridsI	1.71884237659262
Metteniusaceae	EuasteridsI	1.71884237659262
Oleaceae	EuasteridsI	1.71884237659262
Orobanchaceae	EuasteridsI	1.71884237659262
Pedaliaceae	EuasteridsI	1.71884237659262
Plantaginaceae	EuasteridsI	1.71884237659262
Rubiaceae	EuasteridsI	1.71884237659262
Scrophulariaceae	EuasteridsI	1.71884237659262
Solanaceae	EuasteridsI	1.71884237659262
Sphenocleaceae	EuasteridsI	1.71884237659262
Tetrachondraceae	EuasteridsI	1.71884237659262
Thomandersiaceae	EuasteridsI	1.71884237659262
Berberidaceae	basal_Eudicots	1.10544668173933
Ceratophyllaceae	basal_Eudicots	1.10544668173933
Dilleniaceae	basal_Eudicots	1.10544668173933
Gunneraceae	basal_Eudicots	1.10544668173933
Lardizabalaceae	basal_Eudicots	1.10544668173933
Menispermaceae	basal_Eudicots	1.10544668173933
Papaveraceae	basal_Eudicots	1.10544668173933
Platanaceae	basal_Eudicots	1.10544668173933
Proteaceae	basal_Eudicots	1.10544668173933
