internal id;BioSampleId;BioProjectId;Experiment Accession;Run Accession;taxid;species;family;lineage;size1Cx from Kew;nbr of nt;depth OneKp;depth Busco
BMB_FQ;SAMEA8202091;PRJEB43865;ERX5334774;ERR5554732;114204;Narthecium ossifragum;Nartheciaceae;Other monocots;404;1422077398;1.71006838;1.484984074558885
BXA_CAP;SAMEA8200877;PRJEB43865;ERX5310076;ERR5529615;29653;Scheuchzeria palustris;Scheuchzeriaceae;Other monocots;525;962680601;1.11409248;1.007921725594841
BXA_AMS;SAMEA8201398;PRJEB43865;ERX5334592;ERR5554550;55501;Triglochin maritima;Juncaginaceae;Other monocots;295;720360489;0.66346201;0.5525894315554267
CDM_AAJ;SAMEA9098427;PRJEB50550;ERX7831392;ERR8268456;15000;Alisma plantago-aquatica;Alismataceae;Other monocots;9245;824575653;0.05815986;0.06789552637527485
CDM_AEK;SAMEA9098445;PRJEB50550;ERX7831409;ERR8268473;55479;Luronium natans;Alismataceae;Other monocots;6432;634008790;0.10541711;0.1250958374733976
CDM_AUJ;SAMEA8201859;PRJEB43865;ERX5309847;ERR5529386;50236;Butomus umbellatus;Butomaceae;Other monocots;3680;1303621566;0.21177361;0.2848400703768994
CDM_ABF;SAMEA8200886;PRJEB43865;ERX5309852;ERR5529391;55464;Hydrocharis morsus-ranae;Hydrocharitaceae;Other monocots;828;848394254;0.2826161;0.28185736132350897
BXA_CIS;SAMEA8202159;PRJEB43865;ERX5310167;ERR5529706;55316;Najas marina;Hydrocharitaceae;Other monocots;11399;846236023;0.05808835;0.049715863827075255
BXA_BTV;SAMEA8202020;PRJEB43865;ERX5334525;ERR5554483;164261;Goodyera repens;Orchidaceae;Other monocots;4704;1055958087;0.51698596;0.5025872836495568
BMB_MF;SAMEA8202259;PRJEB43865;ERX5334982;ERR5554940;1572676;Dactylorhiza lapponica;Orchidaceae;Other monocots;3275.5;969408433;0.18147273;0.21902019258836924
BXA_BLK;SAMEA8202279;PRJEB43865;ERX5335056;ERR5555014;230571;Dactylorhiza fuchsii;Orchidaceae;Other monocots;2832;983230910;0.2119315;0.2473742153416939
BXA_CET;SAMEA8201067;PRJEB43865;ERX5309980;ERR5529519;207934;Sisyrinchium montanum;Iridaceae;Other monocots;637;721306170;0.73486764;0.6774173660121712
BXA_AND;SAMEA8202334;PRJEB43865;ERX5335109;ERR5555067;4702;Scilla siberica;Hyacinthaceae;Other monocots;31066;1479271429;0.0878716;0.09009928153774928
BXA_ANE;SAMEA8202438;PRJEB43865;ERX5335105;ERR5555063;1891591;Scilla luciliae;Hyacinthaceae;Other monocots;4116;1199745742;0.25748189;0.27805196142361943
BXA_ATC;SAMEA8202570;PRJEB43865;ERX5335413;ERR5555371;4702;Scilla siberica;Hyacinthaceae;Other monocots;31066;519236251;0.01969668;0.02886008111239861
BXA_ANA;SAMEA8202212;PRJEB43865;ERX5334907;ERR5554865;81792;Puschkinia scilloides;Hyacinthaceae;Other monocots;6468;1138869182;0.11835039;0.13770650668337725
BXA_AQI;SAMEA8201669;PRJEB43865;ERX5335041;ERR5554999;32189;Convallaria majalis;Asparagaceae;Other monocots;17310;656494556;0.03076819;0.053103582448188295
BXA_ASR;SAMEA8201792;PRJEB43865;ERX5335188;ERR5555146;4679;Allium cepa;Amaryllidaceae;Other monocots;17542;996205783;0.09499505;0.0733513500553175
BXA_APN;SAMEA8201753;PRJEB43865;ERX5310124;ERR5529663;82209;Gagea lutea;Liliaceae;Other monocots;6451.67;1239499910;0.14711214;0.15033323744179758
BXA_APC;SAMEA8202442;PRJEB43865;ERX5335205;ERR5555163;82322;Lilium martagon;Liliaceae;Other monocots;36446;1331101964;0.06719246;0.0743188270471234
CDM_ADA;SAMEA8201039;PRJEB43865;ERX5309861;ERR5529400;61236;Fritillaria camschatcensis;Liliaceae;Other monocots;36668;989901452;0.06014812;0.07882635628910191
BXA_CAK;SAMEA8202064;PRJEB43865;ERX5309800;ERR5529339;50243;Veratrum album;Melanthiaceae;Other monocots;1609.5;1266949854;0.46203089;0.4300737662410967
CDM_ADX;SAMEA8201068;PRJEB43865;ERX5309871;ERR5529410;203104;Veratrum viride var eschscholtzianum;Melanthiaceae;Other monocots;1641.5;692871537;0.26728471;0.2529420120024147
CDM_AJX;SAMEA8201068;PRJEB50550;ERX7831275;ERR8268339;203104;Veratrum viride var eschscholtzianum;Melanthiaceae;Other monocots;1641.5;913287998;0.25983468;0.2805521531828908
CDM_AFD;SAMEA8201069;PRJEB43865;ERX5309898;ERR5529437;164833;Anticlea elegans;Melanthiaceae;Other monocots;1876.5;1000763461;0.38612431;0.37477095444681613
BXA_BKF;SAMEA8201186;PRJEB43865;ERX5334651;ERR5554609;231488;Paris quadrifolia;Melanthiaceae;Other monocots;49509;883044459;0.03331289;0.04148393532722242
CDM_APB;SAMEA8202470;PRJEB43865;ERX5334771;ERR5554729;4733;Typha latifolia;Typhaceae;Commenilids;294;982418375;2.19337519;2.067910883172824
BXA_CHO;SAMEA8202009;PRJEB43865;ERX5310051;ERR5529590;767568;Sparganium erectum;Typhaceae;Commenilids;490;852121590;1.25302493;1.198882074925902
CDM_ACT;SAMEA8202009;PRJEB50550;ERX7831285;ERR8268349;767568;Sparganium erectum;Typhaceae;Commenilids;490;940031188;1.25649927;1.2506994118723278
CDM_AAG;SAMEA9098325;PRJEB50550;ERX7831305;ERR8268369;96047;Ammophila arenaria;Poaceae;Commenilids;1911;930923000;0.26541562;0.3745094583582712
BXA_CAL;SAMEA8200887;PRJEB43865;ERX5309812;ERR5529351;335190;Vahlodea atropurpurea;Poaceae;Commenilids;3136;1401489336;0.38525944;0.5180436424660139
BMB_HD;SAMEA8202322;PRJEB43865;ERX5334791;ERR5554749;29672;Avenella flexuosa;Poaceae;Commenilids;2989;1017539212;0.20172833;0.29425546550538145
BXA_AQF;SAMEA8201351;PRJEB43865;ERX5334571;ERR5554529;29672;Avenella flexuosa;Poaceae;Commenilids;2989;350337568;0.05805555;0.10010647418346746
CDM_ASH;SAMEA8201504;PRJEB43865;ERX5309969;ERR5529508;500232;Danthonia decumbens;Poaceae;Commenilids;968;778748411;0.5998775;0.7407736324424914
BMB_D;SAMEA8202270;PRJEB43865;ERX5335099;ERR5555057;38689;Molinia caerulea;Poaceae;Commenilids;1225;544161697;0.43542755;0.42847233866057166
CDM_AQZ;SAMEA8202451;PRJEB43865;ERX5334911;ERR5554869;211939;Cynosurus cristatus;Poaceae;Commenilids;2986;1110127062;0.2113613;0.30506882411461095
BMB_KM;SAMEA8202511;PRJEB43865;ERX5335343;ERR5555301;745661;Festuca vivipara;Poaceae;Commenilids;2430.5;1744244616;0.50402424;0.6798481008248195
BXA_APR;SAMEA8201176;PRJEB43865;ERX5334655;ERR5554613;145835;Festuca altissima;Poaceae;Commenilids;4380;460341082;0.05072727;0.08882264448211662
BXA_CEP;SAMEA8201074;PRJEB43865;ERX5309884;ERR5529423;211941;Festuca altaica;Poaceae;Commenilids;3675;836094247;0.18850205;0.21460770485909456
BXA_CLV;SAMEA8201726;PRJEB43865;ERX5335231;ERR5555189;395293;Festuca brachyphylla;Poaceae;Commenilids;1919;1450003598;0.45188503;0.6226003604129631
BXA_CBB;SAMEA8200889;PRJEB43865;ERX5309819;ERR5529358;34176;Lolium temulentum;Poaceae;Commenilids;2801;1358178251;0.1771523;0.26978584850925275
BMB_CM;SAMEA8201182;PRJEB43865;ERX5334715;ERR5554673;37723;Deschampsia cespitosa;Poaceae;Commenilids;5110.7;805407043;0.23211557;0.2523561546451878
BMB_HC;SAMEA8201963;PRJEB43865;ERX5335115;ERR5555073;87471;Avenula pubescens;Poaceae;Commenilids;4998;1460090140;0.18879801;0.26668641101183455
BMB_DK;SAMEA8202543;PRJEB43865;ERX5335374;ERR5555332;114195;Alopecurus geniculatus;Poaceae;Commenilids;3675;1392096034;0.24546306;0.31274262447465495
BMB_KF;SAMEA8201501;PRJEB43865;ERX5335005;ERR5554963;89684;Poa trivialis;Poaceae;Commenilids;2744;1000027876;0.34604345;0.44614626726358186
BXA_BKI;SAMEA8201918;PRJEB43865;ERX5334477;ERR5554435;93036;Poa annua;Poaceae;Commenilids;1421;875402173;0.38763028;0.47546660100845467
BMB_CK;SAMEA8202515;PRJEB43865;ERX5335336;ERR5555294;15957;Phleum pratense;Poaceae;Commenilids;1339.33;775703729;0.29149191;0.41949875503707146
BMB_GB;SAMEA8201151;PRJEB43865;ERX5334619;ERR5554577;669775;Phleum alpinum;Poaceae;Commenilids;1568;1855662154;0.70919564;0.9322119419340967
BMB_FR;SAMEA8202399;PRJEB43865;ERX5334836;ERR5554794;376129;Milium effusum;Poaceae;Commenilids;1911;772042018;0.20574188;0.280218066376466
CDM_ANO;SAMEA8202577;PRJEB43865;ERX5335414;ERR5555372;376129;Milium effusum;Poaceae;Commenilids;1911;982109188;0.27798882;0.4037335126880147
CDM_AGB;SAMEA8201850;PRJEB43865;ERX5309856;ERR5529395;388701;Corynephorus canescens;Poaceae;Commenilids;1078;1324763975;0.50139229;0.690121062600806
CDM_AOX;SAMEA8201854;PRJEB43865;ERX5309789;ERR5529328;29665;Briza maxima;Poaceae;Commenilids;6370;842600849;0.1249831;0.15810802887484005
BXA_ARN;SAMEA8201944;PRJEB43865;ERX5334838;ERR5554796;1211431;Anthoxanthum odoratum subsp odoratum;Poaceae;Commenilids;2891;532424783;0.09614427;0.17144379530828602
CDM_AUX;SAMEA8201844;PRJEB43865;ERX5309859;ERR5529398;388693;Anthoxanthum aristatum;Poaceae;Commenilids;3700.48;628461290;0.1168105;0.16426478338417486
BXA_BLL;SAMEA8202369;PRJEB43865;ERX5335161;ERR5555119;100813;Trisetum spicatum;Poaceae;Commenilids;2405.5;840262170;0.268208;0.36268821828118825
BXA_AQP;SAMEA8201156;PRJEB43865;ERX5334498;ERR5554456;52139;Arrhenatherum elatius;Poaceae;Commenilids;3920;1341048718;0.21123883;0.2898932622325709
BXA_AQN;SAMEA8202539;PRJEB43865;ERX5335372;ERR5555330;4498;Avena sativa;Poaceae;Commenilids;4197.67;1907415236;0.32538148;0.3750206466531775
CDM_APO;SAMEA8201144;PRJEB43865;ERX5309777;ERR5529316;4499;Avena fatua;Poaceae;Commenilids;4215.33;780524369;0.19334306;0.19875156570453262
BXA_ANR;SAMEA8201155;PRJEB43865;ERX5334640;ERR5554598;376798;Phalaris canariensis;Poaceae;Commenilids;3724;1366703241;0.14897552;0.24449704996492966
BXA_AMV;SAMEA8201205;PRJEB43865;ERX5334814;ERR5554772;4565;Triticum aestivum;Poaceae;Commenilids;5651.33;1941101240;0.19350923;0.298816816606574
CDM_ATA;SAMEA8200853;PRJEB43865;ERX5309793;ERR5529332;4593;Agropyron cristatum;Poaceae;Commenilids;6958;724317955;0.06390641;0.11937801414616077
BXA_AQB;SAMEA8202307;PRJEB43865;ERX5335009;ERR5554967;129748;Elymus mutabilis;Poaceae;Commenilids;4263;486933113;0.07133637;0.10786404310862312
BXA_BLI;SAMEA8201933;PRJEB43865;ERX5334795;ERR5554753;129741;Elymus caninus;Poaceae;Commenilids;4214;1160090689;0.19448048;0.2791713852640382
CDM_ADC;SAMEA9098555;PRJEB50550;ERX7831507;ERR8268571;129741;Elymus caninus;Poaceae;Commenilids;4214;1002413560;0.14120096;0.21628479310147472
CDM_AEE;SAMEA8200852;PRJEB43865;ERX5309751;ERR5529290;112517;Hordeum comosum;Poaceae;Commenilids;4508;924115047;0.11436481;0.17187108363271786
CDM_AUK;SAMEA9098610;PRJEB50550;ERX7831558;ERR8268622;4502;Bromus secalinus;Poaceae;Commenilids;6860;917909996;0.11267943;0.12795581936621173
CDM_AUL;SAMEA8201857;PRJEB43865;ERX5309824;ERR5529363;55767;Bromus racemosus;Poaceae;Commenilids;6615;1141987907;0.11357693;0.13294127434769495
CDM_AUM;SAMEA8202071;PRJEB43865;ERX5334819;ERR5554777;52147;Bromus hordeaceus;Poaceae;Commenilids;4508;1186326508;0.20143991;0.28394103151614714
CDM_AUN;SAMEA8201856;PRJEB43865;ERX5309752;ERR5529291;55764;Bromus arvensis;Poaceae;Commenilids;6174;744562518;0.0865389;0.09600321869884444
CDM_AVO;SAMEA8201858;PRJEB43865;ERX5310047;ERR5529586;29667;Bromus tectorum;Poaceae;Commenilids;3234;1068298949;0.18847884;0.26231930446818635
BXA_APL;SAMEA8202049;PRJEB43865;ERX5334483;ERR5554441;254778;Glyceria fluitans;Poaceae;Commenilids;833;1072642728;0.85016047;1.0615034374514036
BMB_MD;SAMEA8201201;PRJEB43865;ERX5334685;ERR5554643;29687;Nardus stricta;Poaceae;Commenilids;2058;1183381031;0.95777636;1.2287735102134174
BMB_DA;SAMEA8202190;PRJEB43865;ERX5335030;ERR5554988;1540200;Eriophorum angustifolium subsp angustifolium;Cyperaceae;Commenilids;686;866120791;0.76177219;0.7609212447486835
BXA_CHD;SAMEA8202581;PRJEB43865;ERX5335416;ERR5555374;100292;Eriophorum angustifolium;Cyperaceae;Commenilids;686;635308045;0.67984636;0.6889393298740174
CDM_AJO;SAMEA8201974;PRJEB43865;ERX5310145;ERR5529684;218141;Luzula campestris;Juncaceae;Commenilids;475;1025567833;0.97497331;0.7967759163429763
CDM_APG;SAMEA8202095;PRJEB43865;ERX5334868;ERR5554826;223705;Luzula sudetica;Juncaceae;Commenilids;445;1004203460;0.92407831;0.8324939400868969
CDM_AQT;SAMEA8202403;PRJEB43865;ERX5334824;ERR5554782;59018;Luzula sylvatica;Juncaceae;Commenilids;558;1163657566;0.98929837;0.9100042676002343
BXA_CBD;SAMEA8202528;PRJEB43865;ERX5335361;ERR5555319;223654;Juncus articulatus;Juncaceae;Commenilids;441;970106230;0.53688059;0.552971720048046
CDM_APH;SAMEA8201369;PRJEB43865;ERX5334603;ERR5554561;13579;Juncus effusus;Juncaceae;Commenilids;294;663745655;1.01451143;0.942284278795551
BXA_AKV;SAMEA8202421;PRJEB43865;ERX5335279;ERR5555237;3467;Eschscholzia californica;Papaveraceae;Basal Eudicots;1078;1062577675;1.63919181;1.4736535495236058
CDM_AOC;SAMEA8201159;PRJEB43865;ERX5334643;ERR5554601;71251;Chelidonium majus;Papaveraceae;Basal Eudicots;1107;974851555;0.61347252;0.5431736249429528
BXA_BBA;SAMEA8201204;PRJEB43865;ERX5334748;ERR5554706;74823;Papaver nudicaule;Papaveraceae;Basal Eudicots;4018;958642821;0.44974459;0.390002802385419
BXA_BBF;SAMEA8201306;PRJEB43865;ERX5334617;ERR5554575;3469;Papaver somniferum;Papaveraceae;Basal Eudicots;3724;1351474249;0.56804682;0.5047640099736511
CDM_ACV;SAMEA8202598;PRJEB43865;ERX5335452;ERR5555410;74823;Papaver nudicaule;Papaveraceae;Basal Eudicots;4018;1219156384;0.62933921;0.531017158966667
CDM_ANQ;SAMEA8202598;PRJEB50550;ERX7831292;ERR8268356;74823;Papaver nudicaule;Papaveraceae;Basal Eudicots;4018;821433142;0.41852128;0.35341042784584925
CDM_AYN;SAMEA9098493;PRJEB50550;ERX7831452;ERR8268516;22694;Papaver orientale;Papaveraceae;Basal Eudicots;2907.33;752674666;0.3419967;0.2722535945135261
CDM_BCW;SAMEA9098899;PRJEB50550;ERX7831742;ERR8268806;33128;Papaver rhoeas;Papaveraceae;Basal Eudicots;2356;544171860;0.17675441;0.1740266202263963
CDM_ABR;SAMEA8201845;PRJEB43865;ERX5310189;ERR5529728;1053350;Fumaria muralis;Papaveraceae;Basal Eudicots;294;1151292838;3.53266101;3.0665285211671236
CDM_AHB;SAMEA8201330;PRJEB43865;ERX5310003;ERR5529542;59993;Myosurus minimus;Ranunculaceae;Basal Eudicots;1078;967373936;0.74654985;0.5609729127973118
BMB_HR;SAMEA8202226;PRJEB43865;ERX5334952;ERR5554910;137665;Ranunculus repens;Ranunculaceae;Basal Eudicots;5488;699401798;0.14693762;0.14416338740658297
