#Family	Phylo_groups	slope
Adoxaceae	EuasteridsII	1.72
Apiaceae	EuasteridsII	1.72
Aquifoliaceae	EuasteridsII	1.72
Araliaceae	EuasteridsII	1.72
Argophyllaceae	EuasteridsII	1.72
Asteraceae	EuasteridsII	1.72
Campanulaceae	EuasteridsII	1.72
Caprifoliaceae	EuasteridsII	1.72
Menyanthaceae	EuasteridsII	1.72
Myodocarpaceae	EuasteridsII	1.72
Phyllonomaceae	EuasteridsII	1.72
Achariaceae	EurosidsI	1.63
Balanopaceae	EurosidsI	1.63
Barbeyaceae	EurosidsI	1.63
Betulaceae	EurosidsI	1.63
Calophyllaceae	EurosidsI	1.63
Cannabaceae	EurosidsI	1.63
Caryocaraceae	EurosidsI	1.63
Celastraceae	EurosidsI	1.63
Cephalotaceae	EurosidsI	1.63
Chrysobalanaceae	EurosidsI	1.63
Clusiaceae	EurosidsI	1.63
Coriariaceae	EurosidsI	1.63
Corynocarpaceae	EurosidsI	1.63
Cucurbitaceae	EurosidsI	1.63
Datiscaceae	EurosidsI	1.63
Dichapetalaceae	EurosidsI	1.63
Elaeagnaceae	EurosidsI	1.63
Elaeocarpaceae	EurosidsI	1.63
Elatinaceae	EurosidsI	1.63
Erythroxylaceae	EurosidsI	1.63
Euphorbiaceae	EurosidsI	1.63
Euphroniaceae	EurosidsI	1.63
Fabaceae	EurosidsI	1.63
Fagaceae	EurosidsI	1.63
Goupiaceae	EurosidsI	1.63
Humiriaceae	EurosidsI	1.63
Hypericaceae	EurosidsI	1.63
Irvingiaceae	EurosidsI	1.63
Ixonanthaceae	EurosidsI	1.63
Lacistemataceae	EurosidsI	1.63
Linaceae	EurosidsI	1.63
Lophopyxidaceae	EurosidsI	1.63
Malpighiaceae	EurosidsI	1.63
Moraceae	EurosidsI	1.63
Myricaceae	EurosidsI	1.63
Ochnaceae	EurosidsI	1.63
Oxalidaceae	EurosidsI	1.63
Pandaceae	EurosidsI	1.63
Passifloraceae	EurosidsI	1.63
Peraceae	EurosidsI	1.63
Phyllanthaceae	EurosidsI	1.63
Picrodendraceae	EurosidsI	1.63
Polygalaceae	EurosidsI	1.63
Putranjivaceae	EurosidsI	1.63
Rafflesiaceae	EurosidsI	1.63
Rhamnaceae	EurosidsI	1.63
Rhizophoraceae	EurosidsI	1.63
Rosaceae	EurosidsI	1.63
Salicaceae	EurosidsI	1.63
Trigoniaceae	EurosidsI	1.63
Ulmaceae	EurosidsI	1.63
Urticaceae	EurosidsI	1.63
Violaceae	EurosidsI	1.63
Crassulaceae	EurosidsII_and_basal_Rosids	1.36
GEurosidsIsulariaceae	EurosidsII_and_basal_Rosids	1.36
Haloragaceae	EurosidsII_and_basal_Rosids	1.36
Paeoniaceae	EurosidsII_and_basal_Rosids	1.36
Saxifragaceae	EurosidsII_and_basal_Rosids	1.36
Vitaceae	EurosidsII_and_basal_Rosids	1.36
Anacardiaceae	EurosidsII_and_basal_Rosids	1.36
Bixaceae	EurosidsII_and_basal_Rosids	1.36
Brassicaceae	EurosidsII_and_basal_Rosids	1.36
Burseraceae	EurosidsII_and_basal_Rosids	1.36
Capparaceae	EurosidsII_and_basal_Rosids	1.36
Caricaceae	EurosidsII_and_basal_Rosids	1.36
Cistaceae	EurosidsII_and_basal_Rosids	1.36
Cleomaceae	EurosidsII_and_basal_Rosids	1.36
Combretaceae	EurosidsII_and_basal_Rosids	1.36
Emblingiaceae	EurosidsII_and_basal_Rosids	1.36
Francoaceae	EurosidsII_and_basal_Rosids	1.36
Geraniaceae	EurosidsII_and_basal_Rosids	1.36
Guamatelaceae	EurosidsII_and_basal_Rosids	1.36
Limnanthaceae	EurosidsII_and_basal_Rosids	1.36
Lythraceae	EurosidsII_and_basal_Rosids	1.36
Malvaceae	EurosidsII_and_basal_Rosids	1.36
Melastomataceae	EurosidsII_and_basal_Rosids	1.36
Meliaceae	EurosidsII_and_basal_Rosids	1.36
Moringaceae	EurosidsII_and_basal_Rosids	1.36
Myrtaceae	EurosidsII_and_basal_Rosids	1.36
Onagraceae	EurosidsII_and_basal_Rosids	1.36
Pentadiplandraceae	EurosidsII_and_basal_Rosids	1.36
Resedaceae	EurosidsII_and_basal_Rosids	1.36
Rutaceae	EurosidsII_and_basal_Rosids	1.36
Sapindaceae	EurosidsII_and_basal_Rosids	1.36
Staphyleaceae	EurosidsII_and_basal_Rosids	1.36
Strasburgeriaceae	EurosidsII_and_basal_Rosids	1.36
Thymelaeaceae	EurosidsII_and_basal_Rosids	1.36
Vochysiaceae	EurosidsII_and_basal_Rosids	1.36
Actinidiaceae	basal_Asterids	2.31
Aizoaceae	basal_Asterids	2.31
Amaranthaceae	basal_Asterids	2.31
Anacampserotaceae	basal_Asterids	2.31
Aptandraceae	basal_Asterids	2.31
Balanophoraceae	basal_Asterids	2.31
Balsaminaceae	basal_Asterids	2.31
Cactaceae	basal_Asterids	2.31
Caryophyllaceae	basal_Asterids	2.31
Chenopodiaceae	basal_Asterids	2.31
Cornaceae	basal_Asterids	2.31
Diapensiaceae	basal_Asterids	2.31
Didiereaceae	basal_Asterids	2.31
Dioncophyllaceae	basal_Asterids	2.31
DEurosidsIraceae	basal_Asterids	2.31
DEurosidsIophyllaceae	basal_Asterids	2.31
Ebenaceae	basal_Asterids	2.31
Ericaceae	basal_Asterids	2.31
Erythropalaceae	basal_Asterids	2.31
Fouquieriaceae	basal_Asterids	2.31
Lecythidaceae	basal_Asterids	2.31
Limeaceae	basal_Asterids	2.31
Loranthaceae	basal_Asterids	2.31
Marcgraviaceae	basal_Asterids	2.31
Montiaceae	basal_Asterids	2.31
Nyctaginaceae	basal_Asterids	2.31
Opiliaceae	basal_Asterids	2.31
Pentaphylacaceae	basal_Asterids	2.31
Phytolaccaceae	basal_Asterids	2.31
Plumbaginaceae	basal_Asterids	2.31
Polemoniaceae	basal_Asterids	2.31
Polygonaceae	basal_Asterids	2.31
Portulacaceae	basal_Asterids	2.31
Primulaceae	basal_Asterids	2.31
Sapotaceae	basal_Asterids	2.31
Sarraceniaceae	basal_Asterids	2.31
Stegnospermataceae	basal_Asterids	2.31
Symplocaceae	basal_Asterids	2.31
Talinaceae	basal_Asterids	2.31
Tamaricaceae	basal_Asterids	2.31
Theaceae	basal_Asterids	2.31
Thesiaceae	basal_Asterids	2.31
Viscaceae	basal_Asterids	2.31
Acanthaceae	EuasteridsI	1.97
Apocynaceae	EuasteridsI	1.97
Bignoniaceae	EuasteridsI	1.97
Boraginaceae	EuasteridsI	1.97
Calceolariaceae	EuasteridsI	1.97
Convolvulaceae	EuasteridsI	1.97
Cordiaceae	EuasteridsI	1.97
Eucommiaceae	EuasteridsI	1.97
Garryaceae	EuasteridsI	1.97
Gentianaceae	EuasteridsI	1.97
Gesneriaceae	EuasteridsI	1.97
Heliotropiaceae	EuasteridsI	1.97
Hydroleaceae	EuasteridsI	1.97
Hydrophyllaceae	EuasteridsI	1.97
Lamiaceae	EuasteridsI	1.97
Lentibulariaceae	EuasteridsI	1.97
Linderniaceae	EuasteridsI	1.97
Loganiaceae	EuasteridsI	1.97
Martyniaceae	EuasteridsI	1.97
Metteniusaceae	EuasteridsI	1.97
Oleaceae	EuasteridsI	1.97
Orobanchaceae	EuasteridsI	1.97
Pedaliaceae	EuasteridsI	1.97
Plantaginaceae	EuasteridsI	1.97
Rubiaceae	EuasteridsI	1.97
Scrophulariaceae	EuasteridsI	1.97
