#Family	Phylo_groups	slope
Adoxaceae	EuasteridsII	1.35
Apiaceae	EuasteridsII	1.35
Aquifoliaceae	EuasteridsII	1.35
Araliaceae	EuasteridsII	1.35
Argophyllaceae	EuasteridsII	1.35
Asteraceae	EuasteridsII	1.35
Campanulaceae	EuasteridsII	1.35
Caprifoliaceae	EuasteridsII	1.35
Menyanthaceae	EuasteridsII	1.35
Myodocarpaceae	EuasteridsII	1.35
Phyllonomaceae	EuasteridsII	1.35
Achariaceae	EurosidsI	1.42
Balanopaceae	EurosidsI	1.42
Barbeyaceae	EurosidsI	1.42
Betulaceae	EurosidsI	1.42
Calophyllaceae	EurosidsI	1.42
Cannabaceae	EurosidsI	1.42
Caryocaraceae	EurosidsI	1.42
Celastraceae	EurosidsI	1.42
Cephalotaceae	EurosidsI	1.42
Chrysobalanaceae	EurosidsI	1.42
Clusiaceae	EurosidsI	1.42
Coriariaceae	EurosidsI	1.42
Corynocarpaceae	EurosidsI	1.42
Cucurbitaceae	EurosidsI	1.42
Datiscaceae	EurosidsI	1.42
Dichapetalaceae	EurosidsI	1.42
Elaeagnaceae	EurosidsI	1.42
Elaeocarpaceae	EurosidsI	1.42
Elatinaceae	EurosidsI	1.42
Erythroxylaceae	EurosidsI	1.42
Euphorbiaceae	EurosidsI	1.42
Euphroniaceae	EurosidsI	1.42
Fabaceae	EurosidsI	1.42
Fagaceae	EurosidsI	1.42
Goupiaceae	EurosidsI	1.42
Humiriaceae	EurosidsI	1.42
Hypericaceae	EurosidsI	1.42
Irvingiaceae	EurosidsI	1.42
Ixonanthaceae	EurosidsI	1.42
Lacistemataceae	EurosidsI	1.42
Linaceae	EurosidsI	1.42
Lophopyxidaceae	EurosidsI	1.42
Malpighiaceae	EurosidsI	1.42
Moraceae	EurosidsI	1.42
Myricaceae	EurosidsI	1.42
Ochnaceae	EurosidsI	1.42
Oxalidaceae	EurosidsI	1.42
Pandaceae	EurosidsI	1.42
Passifloraceae	EurosidsI	1.42
Peraceae	EurosidsI	1.42
Phyllanthaceae	EurosidsI	1.42
Picrodendraceae	EurosidsI	1.42
Polygalaceae	EurosidsI	1.42
Putranjivaceae	EurosidsI	1.42
Rafflesiaceae	EurosidsI	1.42
Rhamnaceae	EurosidsI	1.42
Rhizophoraceae	EurosidsI	1.42
Rosaceae	EurosidsI	1.42
Salicaceae	EurosidsI	1.42
Trigoniaceae	EurosidsI	1.42
Ulmaceae	EurosidsI	1.42
Urticaceae	EurosidsI	1.42
Violaceae	EurosidsI	1.42
Crassulaceae	EurosidsII_and_basal_Rosids	1.88
GEurosidsIsulariaceae	EurosidsII_and_basal_Rosids	1.88
Haloragaceae	EurosidsII_and_basal_Rosids	1.88
Paeoniaceae	EurosidsII_and_basal_Rosids	1.88
Saxifragaceae	EurosidsII_and_basal_Rosids	1.88
Vitaceae	EurosidsII_and_basal_Rosids	1.88
Anacardiaceae	EurosidsII_and_basal_Rosids	1.88
Bixaceae	EurosidsII_and_basal_Rosids	1.88
Brassicaceae	EurosidsII_and_basal_Rosids	1.88
Burseraceae	EurosidsII_and_basal_Rosids	1.88
Capparaceae	EurosidsII_and_basal_Rosids	1.88
Caricaceae	EurosidsII_and_basal_Rosids	1.88
Cistaceae	EurosidsII_and_basal_Rosids	1.88
Cleomaceae	EurosidsII_and_basal_Rosids	1.88
Combretaceae	EurosidsII_and_basal_Rosids	1.88
Emblingiaceae	EurosidsII_and_basal_Rosids	1.88
Francoaceae	EurosidsII_and_basal_Rosids	1.88
Geraniaceae	EurosidsII_and_basal_Rosids	1.88
Guamatelaceae	EurosidsII_and_basal_Rosids	1.88
Limnanthaceae	EurosidsII_and_basal_Rosids	1.88
Lythraceae	EurosidsII_and_basal_Rosids	1.88
Malvaceae	EurosidsII_and_basal_Rosids	1.88
Melastomataceae	EurosidsII_and_basal_Rosids	1.88
Meliaceae	EurosidsII_and_basal_Rosids	1.88
Moringaceae	EurosidsII_and_basal_Rosids	1.88
Myrtaceae	EurosidsII_and_basal_Rosids	1.88
Onagraceae	EurosidsII_and_basal_Rosids	1.88
Pentadiplandraceae	EurosidsII_and_basal_Rosids	1.88
Resedaceae	EurosidsII_and_basal_Rosids	1.88
Rutaceae	EurosidsII_and_basal_Rosids	1.88
Sapindaceae	EurosidsII_and_basal_Rosids	1.88
Staphyleaceae	EurosidsII_and_basal_Rosids	1.88
Strasburgeriaceae	EurosidsII_and_basal_Rosids	1.88
Thymelaeaceae	EurosidsII_and_basal_Rosids	1.88
Vochysiaceae	EurosidsII_and_basal_Rosids	1.88
Actinidiaceae	basal_Asterids	1.895
Aizoaceae	basal_Asterids	1.895
Amaranthaceae	basal_Asterids	1.895
Anacampserotaceae	basal_Asterids	1.895
Aptandraceae	basal_Asterids	1.895
Balanophoraceae	basal_Asterids	1.895
Balsaminaceae	basal_Asterids	1.895
Cactaceae	basal_Asterids	1.895
Caryophyllaceae	basal_Asterids	1.895
Chenopodiaceae	basal_Asterids	1.895
Cornaceae	basal_Asterids	1.895
Diapensiaceae	basal_Asterids	1.895
Didiereaceae	basal_Asterids	1.895
Dioncophyllaceae	basal_Asterids	1.895
DEurosidsIraceae	basal_Asterids	1.895
DEurosidsIophyllaceae	basal_Asterids	1.895
Ebenaceae	basal_Asterids	1.895
Ericaceae	basal_Asterids	1.895
Erythropalaceae	basal_Asterids	1.895
Fouquieriaceae	basal_Asterids	1.895
Lecythidaceae	basal_Asterids	1.895
Limeaceae	basal_Asterids	1.895
Loranthaceae	basal_Asterids	1.895
Marcgraviaceae	basal_Asterids	1.895
Montiaceae	basal_Asterids	1.895
Nyctaginaceae	basal_Asterids	1.895
Opiliaceae	basal_Asterids	1.895
Pentaphylacaceae	basal_Asterids	1.895
Phytolaccaceae	basal_Asterids	1.895
Plumbaginaceae	basal_Asterids	1.895
Polemoniaceae	basal_Asterids	1.895
Polygonaceae	basal_Asterids	1.895
Portulacaceae	basal_Asterids	1.895
Primulaceae	basal_Asterids	1.895
Sapotaceae	basal_Asterids	1.895
Sarraceniaceae	basal_Asterids	1.895
Stegnospermataceae	basal_Asterids	1.895
Symplocaceae	basal_Asterids	1.895
Talinaceae	basal_Asterids	1.895
Tamaricaceae	basal_Asterids	1.895
Theaceae	basal_Asterids	1.895
Thesiaceae	basal_Asterids	1.895
Viscaceae	basal_Asterids	1.895
Acanthaceae	EuasteridsI	1.56
Apocynaceae	EuasteridsI	1.56
Bignoniaceae	EuasteridsI	1.56
Boraginaceae	EuasteridsI	1.56
Calceolariaceae	EuasteridsI	1.56
Convolvulaceae	EuasteridsI	1.56
Cordiaceae	EuasteridsI	1.56
Eucommiaceae	EuasteridsI	1.56
Garryaceae	EuasteridsI	1.56
Gentianaceae	EuasteridsI	1.56
Gesneriaceae	EuasteridsI	1.56
Heliotropiaceae	EuasteridsI	1.56
Hydroleaceae	EuasteridsI	1.56
Hydrophyllaceae	EuasteridsI	1.56
Lamiaceae	EuasteridsI	1.56
Lentibulariaceae	EuasteridsI	1.56
Linderniaceae	EuasteridsI	1.56
Loganiaceae	EuasteridsI	1.56
Martyniaceae	EuasteridsI	1.56
Metteniusaceae	EuasteridsI	1.56
Oleaceae	EuasteridsI	1.56
Orobanchaceae	EuasteridsI	1.56
Pedaliaceae	EuasteridsI	1.56
Plantaginaceae	EuasteridsI	1.56
Rubiaceae	EuasteridsI	1.56
Scrophulariaceae	EuasteridsI	1.56
Solanaceae	EuasteridsI	1.56
Sphenocleaceae	EuasteridsI	1.56
Tetrachondraceae	EuasteridsI	1.56
Thomandersiaceae	EuasteridsI	1.56
Berberidaceae	basal_Eudicots	1.11
Ceratophyllaceae	basal_Eudicots	1.11
Dilleniaceae	basal_Eudicots	1.11
Gunneraceae	basal_Eudicots	1.11
Lardizabalaceae	basal_Eudicots	1.11
Menispermaceae	basal_Eudicots	1.11
Papaveraceae	basal_Eudicots	1.11
Platanaceae	basal_Eudicots	1.11
Proteaceae	basal_Eudicots	1.11
Ranunculaceae	basal_Eudicots	1.11
Arecaceae	Commenilids	1.504
Bromeliaceae	Commenilids	1.504
Commelinaceae	Commenilids	1.504
Costaceae	Commenilids	1.504
Cyperaceae	Commenilids	1.504
Flagellariaceae	Commenilids	1.504
Heliconiaceae	Commenilids	1.504
Joinvilleaceae	Commenilids	1.504
Juncaceae	Commenilids	1.504
Marantaceae	Commenilids	1.504
Poaceae	Commenilids	1.504
Pontederiaceae	Commenilids	1.504
Typhaceae	Commenilids	1.504
Xyridaceae	Commenilids	1.504
Zingiberaceae	Commenilids	1.504
Acoraceae	Other_monocots	1.59
Alismataceae	Other_monocots	1.59
Amaryllidaceae	Other_monocots	1.59
Aponogetonaceae	Other_monocots	1.59
Araceae	Other_monocots	1.59
Asparagaceae	Other_monocots	1.59
Asphodelaceae	Other_monocots	1.59
Asteliaceae	Other_monocots	1.59
Butomaceae	Other_monocots	1.59
Campynemataceae	Other_monocots	1.59
Colchicaceae	Other_monocots	1.59
Dioscoreaceae	Other_monocots	1.59
Doryanthaceae	Other_monocots	1.59
Hyacinthaceae	Other_monocots	1.59
Hydrocharitaceae	Other_monocots	1.59
Iridaceae	Other_monocots	1.59
Juncaginaceae	Other_monocots	1.59
Liliaceae	Other_monocots	1.59
Melanthiaceae	Other_monocots	1.59
Nartheciaceae	Other_monocots	1.59
Orchidaceae	Other_monocots	1.59
Posidoniaceae	Other_monocots	1.59
Potamogetonaceae	Other_monocots	1.59
Scheuchzeriaceae	Other_monocots	1.59
Tofieldiaceae	Other_monocots	1.59
